timestamp,gpu_temp,cpu_temp,gpu_util,power,ram,system_state,temp_trend,decision,yolo_precision,bert_precision,yolo_latency_ms,bert_latency_ms,total_latency_ms,fps,throughput_tasks_per_sec,energy_per_inf_j,scheduler_overhead_ms,cost_function
07:20:25,46.5,50.468,0.0,6.652,4217,Normal,-3.500,YOLO_INT8+BERT_INT8,int8,int8,62.24,7.35,69.59,16.07,229.92,0.4629,239.4595,0.2400
07:20:27,46.531,50.781,0.0,6.773,4621,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,42.55,9.10,51.65,23.50,309.76,0.3499,5.4851,0.2120
07:20:29,46.5,50.656,0.0,6.733,4615,Normal,-0.031,YOLO_INT8+BERT_INT8,int8,int8,39.99,9.12,49.12,25.00,325.74,0.3307,5.3988,0.2074
07:20:31,46.281,50.281,0.0,6.652,4615,Normal,-0.219,YOLO_INT8+BERT_INT8,int8,int8,40.40,9.13,49.52,24.75,323.09,0.3294,5.4381,0.2070
07:20:32,46.468,50.531,0.0,6.652,4615,Normal,0.187,YOLO_INT8+BERT_INT8,int8,int8,40.59,5.60,46.19,24.64,346.39,0.3073,5.4226,0.2018
07:20:34,46.5,50.656,0.0,6.652,4616,Normal,0.032,YOLO_INT8+BERT_INT8,int8,int8,41.80,9.69,51.49,23.92,310.74,0.3425,5.3954,0.2104
07:20:36,46.375,50.375,0.0,6.652,4616,Normal,-0.125,YOLO_INT8+BERT_INT8,int8,int8,42.00,10.18,52.17,23.81,306.68,0.3470,5.9428,0.2114
07:20:38,46.281,50.468,0.0,6.652,4616,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,41.84,9.69,51.54,23.90,310.46,0.3428,5.4340,0.2103
07:20:39,46.187,50.218,24.0,6.652,4616,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,39.88,9.63,49.51,25.07,323.15,0.3294,5.3766,0.2069
07:20:41,46.5,50.343,0.0,6.652,4617,Normal,0.313,YOLO_INT8+BERT_INT8,int8,int8,39.93,10.10,50.03,25.04,319.81,0.3328,5.6381,0.2081
