timestamp,gpu_temp,cpu_temp,gpu_util,power,ram,system_state,decision,yolo_precision,bert_precision,yolo_latency_ms,bert_latency_ms,total_latency_ms,fps,throughput_tasks_per_sec,energy_per_inf_j,scheduler_overhead_ms,cost_function
07:16:50,48.562,53.125,0.0,6.733,4180,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,104.97,7.54,112.50,9.53,142.22,0.7575,0.0060,0.2338
07:16:52,48.5,52.812,0.0,6.733,4446,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,50.56,6.03,56.59,19.78,282.76,0.3810,0.0079,0.1417
07:16:54,48.25,52.406,0.0,6.693,4452,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.27,7.84,56.12,20.71,285.12,0.3756,0.0064,0.1402
07:16:55,48.375,52.75,0.0,6.894,4452,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.80,6.06,55.86,20.08,286.42,0.3851,0.0069,0.1422
07:16:57,48.0,52.562,0.0,6.693,4452,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.92,6.02,55.95,20.03,285.99,0.3744,0.0064,0.1397
07:16:59,47.968,52.25,0.0,6.693,4452,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.15,7.41,55.56,20.77,287.99,0.3718,0.0069,0.1390
07:17:01,48.312,52.281,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,46.11,6.01,52.12,21.69,307.00,0.3509,0.0072,0.1341
07:17:03,48.031,52.156,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,47.94,9.20,57.13,20.86,280.04,0.3847,0.0069,0.1421
07:17:04,48.218,52.406,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,50.05,8.69,58.74,19.98,272.39,0.3955,0.0072,0.1449
07:17:06,47.968,52.218,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.61,8.00,56.61,20.57,282.65,0.3789,0.0072,0.1407
07:17:08,47.968,52.093,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,47.76,8.62,56.38,20.94,283.81,0.3796,0.0074,0.1408
07:17:10,47.718,52.218,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,46.66,6.98,53.64,21.43,298.30,0.3611,0.0069,0.1360
07:17:12,47.75,52.062,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.54,7.21,55.75,20.60,286.98,0.3732,0.0072,0.1391
07:17:13,47.937,51.875,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.69,7.58,57.27,20.13,279.37,0.3833,0.0076,0.1418
07:17:15,47.937,52.031,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,47.44,9.10,56.54,21.08,282.97,0.3784,0.0076,0.1406
07:17:17,47.562,51.687,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,47.86,6.07,53.93,20.89,296.66,0.3610,0.0072,0.1359
07:17:19,47.656,51.718,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.67,7.28,56.96,20.13,280.90,0.3812,0.0079,0.1410
07:17:21,47.781,52.062,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.43,9.19,58.63,20.23,272.92,0.3924,0.0069,0.1438
07:17:22,47.625,51.625,0.0,6.693,4451,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,46.54,6.08,52.62,21.49,304.08,0.3522,0.0069,0.1338
07:17:24,47.718,51.687,0.0,6.693,4451,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.22,5.70,53.92,20.74,296.72,0.3609,0.0072,0.1361
07:17:26,47.906,52.093,0.0,7.217,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,50.53,6.00,56.52,19.79,283.07,0.4079,0.0086,0.1464
07:17:28,48.0,52.187,0.0,6.733,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,48.10,9.14,57.23,20.79,279.55,0.3854,0.0069,0.1422
07:17:30,47.687,51.718,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,51.44,6.11,57.56,19.44,277.98,0.3852,0.0072,0.1420
07:17:31,47.562,51.468,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.04,10.39,59.43,20.39,269.22,0.3978,0.0064,0.1449
07:17:33,47.406,51.531,0.0,6.693,4450,Normal,YOLO_FP16+BERT_FP16,fp16,fp16,49.67,10.01,59.68,20.13,268.10,0.3994,0.0048,0.1452
